Turn,TotalAgents,EmpAgents,NonEmpAgents,AvgEmpEnergy,AvgNonEmpEnergy
1,40,20,20,17.05,17.35
2,78,38,40,23.973684210526315,22.025
3,141,67,74,27.970149253731343,25.5
4,249,116,133,25.45689655172414,22.25563909774436
5,371,174,197,21.557471264367816,17.695431472081218
6,395,189,206,21.243386243386244,17.941747572815533
7,399,192,207,21,17.903381642512077
8,400,192,208,21.015625,17.822115384615383
9,400,192,208,21.010416666666668,17.826923076923077
10,400,192,208,21.005208333333332,17.826923076923077
11,400,192,208,21,17.826923076923077
12,400,192,208,20.994791666666668,17.826923076923077
13,400,192,208,20.989583333333332,17.826923076923077
14,400,192,208,20.984375,17.826923076923077
15,400,192,208,20.979166666666668,17.826923076923077
16,399,191,208,21.083769633507853,17.826923076923077
17,400,192,208,20.973958333333332,17.826923076923077
18,400,192,208,20.96875,17.826923076923077
19,400,192,208,20.963541666666668,17.826923076923077
20,400,192,208,20.958333333333332,17.826923076923077
21,400,192,208,20.953125,17.826923076923077
22,400,192,208,20.947916666666668,17.826923076923077
23,400,192,208,20.942708333333332,17.826923076923077
24,400,192,208,20.9375,17.826923076923077
25,400,192,208,20.932291666666668,17.826923076923077
26,400,192,208,20.927083333333332,17.826923076923077
27,400,192,208,20.921875,17.826923076923077
28,400,192,208,20.916666666666668,17.826923076923077
29,400,192,208,20.911458333333332,17.826923076923077
30,400,192,208,20.90625,17.826923076923077
31,400,192,208,20.901041666666668,17.826923076923077
32,400,192,208,20.895833333333332,17.826923076923077
33,400,192,208,20.890625,17.826923076923077
34,400,192,208,20.885416666666668,17.826923076923077
35,399,191,208,20.98952879581152,17.826923076923077
36,399,191,208,20.98952879581152,17.826923076923077
37,399,191,208,20.98952879581152,17.826923076923077
38,399,191,208,20.98952879581152,17.826923076923077
39,399,191,208,20.98952879581152,17.826923076923077
40,399,191,208,20.98952879581152,17.826923076923077
41,399,191,208,20.98952879581152,17.826923076923077
42,399,191,208,20.98952879581152,17.826923076923077
43,399,191,208,20.98952879581152,17.826923076923077
44,399,191,208,20.98952879581152,17.826923076923077
45,399,191,208,20.98952879581152,17.826923076923077
46,399,191,208,20.98952879581152,17.826923076923077
47,399,191,208,20.98952879581152,17.826923076923077
48,399,191,208,20.98952879581152,17.826923076923077
49,399,191,208,20.98952879581152,17.826923076923077
50,399,191,208,20.98952879581152,17.826923076923077
51,399,191,208,20.98952879581152,17.826923076923077
52,399,191,208,20.98952879581152,17.826923076923077
53,399,191,208,20.98952879581152,17.826923076923077
54,399,191,208,20.98952879581152,17.826923076923077
55,399,191,208,20.98952879581152,17.826923076923077
56,399,191,208,20.98952879581152,17.826923076923077
57,399,191,208,20.98952879581152,17.826923076923077
58,399,191,208,20.98952879581152,17.826923076923077
59,399,191,208,20.98952879581152,17.826923076923077
60,399,191,208,20.98952879581152,17.826923076923077
61,399,191,208,20.98952879581152,17.826923076923077
62,399,191,208,20.98952879581152,17.826923076923077
63,399,191,208,20.98952879581152,17.826923076923077
64,399,191,208,20.98952879581152,17.826923076923077
65,399,191,208,20.98952879581152,17.826923076923077
66,399,191,208,20.98952879581152,17.826923076923077
67,399,191,208,20.98952879581152,17.826923076923077
68,399,191,208,20.98952879581152,17.826923076923077
69,399,191,208,20.98952879581152,17.826923076923077
70,399,191,208,20.98952879581152,17.826923076923077
71,399,191,208,20.98952879581152,17.826923076923077
72,399,191,208,20.98952879581152,17.826923076923077
73,399,191,208,20.98952879581152,17.826923076923077
74,399,191,208,20.98952879581152,17.826923076923077
75,399,191,208,20.98952879581152,17.826923076923077
76,399,191,208,20.98952879581152,17.826923076923077
77,399,191,208,20.98952879581152,17.826923076923077
78,399,191,208,20.98952879581152,17.826923076923077
79,399,191,208,20.98952879581152,17.826923076923077
80,399,191,208,20.98952879581152,17.826923076923077
81,399,191,208,20.98952879581152,17.826923076923077
82,399,191,208,20.98952879581152,17.826923076923077
83,399,191,208,20.98952879581152,17.826923076923077
84,399,191,208,20.98952879581152,17.826923076923077
85,399,191,208,20.98952879581152,17.826923076923077
86,399,191,208,20.98952879581152,17.826923076923077
87,399,191,208,20.98952879581152,17.826923076923077
88,399,191,208,20.98952879581152,17.826923076923077
89,399,191,208,20.98952879581152,17.826923076923077
90,399,191,208,20.98952879581152,17.826923076923077
91,399,191,208,20.98952879581152,17.826923076923077
92,399,191,208,20.98952879581152,17.826923076923077
93,399,191,208,20.98952879581152,17.826923076923077
94,399,191,208,20.98952879581152,17.826923076923077
95,399,191,208,20.98952879581152,17.826923076923077
96,399,191,208,20.98952879581152,17.826923076923077
97,399,191,208,20.98952879581152,17.826923076923077
98,399,191,208,20.98952879581152,17.826923076923077
99,399,191,208,20.98952879581152,17.826923076923077
100,399,191,208,20.98952879581152,17.826923076923077
101,399,191,208,20.98952879581152,17.826923076923077
102,399,191,208,20.98952879581152,17.826923076923077
103,399,191,208,20.98952879581152,17.826923076923077
104,399,191,208,20.98952879581152,17.826923076923077
105,399,191,208,20.98952879581152,17.826923076923077
106,399,191,208,20.98952879581152,17.826923076923077
107,399,191,208,20.98952879581152,17.826923076923077
108,399,191,208,20.98952879581152,17.826923076923077
109,399,191,208,20.98952879581152,17.826923076923077
110,399,191,208,20.98952879581152,17.826923076923077
111,399,191,208,20.98952879581152,17.826923076923077
112,399,191,208,20.98952879581152,17.826923076923077
113,399,191,208,20.98952879581152,17.826923076923077
114,399,191,208,20.98952879581152,17.826923076923077
115,399,191,208,20.98952879581152,17.826923076923077
116,399,191,208,20.98952879581152,17.826923076923077
117,399,191,208,20.98952879581152,17.826923076923077
118,399,191,208,20.98952879581152,17.826923076923077
119,399,191,208,20.98952879581152,17.826923076923077
120,399,191,208,20.98952879581152,17.826923076923077
121,399,191,208,20.98952879581152,17.826923076923077
122,399,191,208,20.98952879581152,17.826923076923077
123,399,191,208,20.98952879581152,17.826923076923077
124,399,191,208,20.98952879581152,17.826923076923077
125,399,191,208,20.98952879581152,17.826923076923077
126,399,191,208,20.98952879581152,17.826923076923077
127,399,191,208,20.98952879581152,17.826923076923077
128,399,191,208,20.98952879581152,17.826923076923077
129,399,191,208,20.98952879581152,17.826923076923077
130,399,191,208,20.98952879581152,17.826923076923077
131,399,191,208,20.98952879581152,17.826923076923077
132,399,191,208,20.98952879581152,17.826923076923077
133,399,191,208,20.98952879581152,17.826923076923077
134,399,191,208,20.98952879581152,17.826923076923077
135,399,191,208,20.98952879581152,17.826923076923077
136,399,191,208,20.98952879581152,17.826923076923077
137,399,191,208,20.98952879581152,17.826923076923077
138,399,191,208,20.98952879581152,17.826923076923077
139,399,191,208,20.98952879581152,17.826923076923077
140,399,191,208,20.98952879581152,17.826923076923077
141,399,191,208,20.98952879581152,17.826923076923077
142,399,191,208,20.98952879581152,17.826923076923077
143,399,191,208,20.98952879581152,17.826923076923077
144,399,191,208,20.98952879581152,17.826923076923077
145,399,191,208,20.98952879581152,17.826923076923077
146,399,191,208,20.98952879581152,17.826923076923077
147,399,191,208,20.98952879581152,17.826923076923077
148,399,191,208,20.98952879581152,17.826923076923077
149,399,191,208,20.98952879581152,17.826923076923077
150,399,191,208,20.98952879581152,17.826923076923077
151,399,191,208,20.98952879581152,17.826923076923077
152,399,191,208,20.98952879581152,17.826923076923077
153,399,191,208,20.98952879581152,17.826923076923077
154,399,191,208,20.98952879581152,17.826923076923077
155,399,191,208,20.98952879581152,17.826923076923077
156,399,191,208,20.98952879581152,17.826923076923077
157,399,191,208,20.98952879581152,17.826923076923077
158,399,191,208,20.98952879581152,17.826923076923077
159,399,191,208,20.98952879581152,17.826923076923077
160,399,191,208,20.98952879581152,17.826923076923077
161,399,191,208,20.98952879581152,17.826923076923077
162,399,191,208,20.98952879581152,17.826923076923077
163,399,191,208,20.98952879581152,17.826923076923077
164,399,191,208,20.98952879581152,17.826923076923077
165,399,191,208,20.98952879581152,17.826923076923077
166,399,191,208,20.98952879581152,17.826923076923077
167,399,191,208,20.98952879581152,17.826923076923077
168,399,191,208,20.98952879581152,17.826923076923077
169,399,191,208,20.98952879581152,17.826923076923077
170,399,191,208,20.98952879581152,17.826923076923077
171,399,191,208,20.98952879581152,17.826923076923077
172,399,191,208,20.98952879581152,17.826923076923077
173,399,191,208,20.98952879581152,17.826923076923077
174,399,191,208,20.98952879581152,17.826923076923077
175,399,191,208,20.98952879581152,17.826923076923077
176,399,191,208,20.98952879581152,17.826923076923077
177,399,191,208,20.98952879581152,17.826923076923077
178,399,191,208,20.98952879581152,17.826923076923077
179,399,191,208,20.98952879581152,17.826923076923077
180,399,191,208,20.98952879581152,17.826923076923077
181,399,191,208,20.98952879581152,17.826923076923077
182,399,191,208,20.98952879581152,17.826923076923077
183,399,191,208,20.98952879581152,17.826923076923077
184,399,191,208,20.98952879581152,17.826923076923077
185,399,191,208,20.98952879581152,17.826923076923077
186,399,191,208,20.98952879581152,17.826923076923077
187,399,191,208,20.98952879581152,17.826923076923077
188,399,191,208,20.98952879581152,17.826923076923077
189,399,191,208,20.98952879581152,17.826923076923077
190,399,191,208,20.98952879581152,17.826923076923077
191,399,191,208,20.98952879581152,17.826923076923077
192,399,191,208,20.98952879581152,17.826923076923077
193,399,191,208,20.98952879581152,17.826923076923077
194,399,191,208,20.98952879581152,17.826923076923077
195,399,191,208,20.98952879581152,17.826923076923077
196,399,191,208,20.98952879581152,17.826923076923077
197,399,191,208,20.98952879581152,17.826923076923077
198,399,191,208,20.98952879581152,17.826923076923077
199,399,191,208,20.98952879581152,17.826923076923077
200,399,191,208,20.98952879581152,17.826923076923077
201,399,191,208,20.98952879581152,17.826923076923077
202,399,191,208,20.98952879581152,17.826923076923077
203,399,191,208,20.98952879581152,17.826923076923077
204,399,191,208,20.98952879581152,17.826923076923077
205,399,191,208,20.98952879581152,17.826923076923077
206,399,191,208,20.98952879581152,17.826923076923077
207,399,191,208,20.98952879581152,17.826923076923077
208,399,191,208,20.98952879581152,17.826923076923077
209,399,191,208,20.98952879581152,17.826923076923077
210,399,191,208,20.98952879581152,17.826923076923077
211,399,191,208,20.98952879581152,17.826923076923077
212,399,191,208,20.98952879581152,17.826923076923077
213,399,191,208,20.98952879581152,17.826923076923077
214,399,191,208,20.98952879581152,17.826923076923077
215,399,191,208,20.98952879581152,17.826923076923077
216,399,191,208,20.98952879581152,17.826923076923077
217,399,191,208,20.98952879581152,17.826923076923077
218,399,191,208,20.98952879581152,17.826923076923077
219,399,191,208,20.98952879581152,17.826923076923077
220,399,191,208,20.98952879581152,17.826923076923077
221,399,191,208,20.98952879581152,17.826923076923077
222,399,191,208,20.98952879581152,17.826923076923077
223,399,191,208,20.98952879581152,17.826923076923077
224,399,191,208,20.98952879581152,17.826923076923077
225,399,191,208,20.98952879581152,17.826923076923077
226,399,191,208,20.98952879581152,17.826923076923077
227,399,191,208,20.98952879581152,17.826923076923077
228,399,191,208,20.98952879581152,17.826923076923077
229,399,191,208,20.98952879581152,17.826923076923077
230,399,191,208,20.98952879581152,17.826923076923077
231,399,191,208,20.98952879581152,17.826923076923077
232,399,191,208,20.98952879581152,17.826923076923077
233,399,191,208,20.98952879581152,17.826923076923077
234,399,191,208,20.98952879581152,17.826923076923077
235,399,191,208,20.98952879581152,17.826923076923077
236,399,191,208,20.98952879581152,17.826923076923077
237,399,191,208,20.98952879581152,17.826923076923077
238,399,191,208,20.98952879581152,17.826923076923077
239,399,191,208,20.98952879581152,17.826923076923077
240,399,191,208,20.98952879581152,17.826923076923077
241,399,191,208,20.98952879581152,17.826923076923077
242,399,191,208,20.98952879581152,17.826923076923077
243,399,191,208,20.98952879581152,17.826923076923077
244,399,191,208,20.98952879581152,17.826923076923077
245,399,191,208,20.98952879581152,17.826923076923077
246,399,191,208,20.98952879581152,17.826923076923077
247,399,191,208,20.98952879581152,17.826923076923077
248,399,191,208,20.98952879581152,17.826923076923077
249,399,191,208,20.98952879581152,17.826923076923077
250,399,191,208,20.98952879581152,17.826923076923077
251,399,191,208,20.98952879581152,17.826923076923077
252,399,191,208,20.98952879581152,17.826923076923077
253,399,191,208,20.98952879581152,17.826923076923077
254,399,191,208,20.98952879581152,17.826923076923077
255,399,191,208,20.98952879581152,17.826923076923077
256,399,191,208,20.98952879581152,17.826923076923077
257,399,191,208,20.98952879581152,17.826923076923077
258,399,191,208,20.98952879581152,17.826923076923077
259,399,191,208,20.98952879581152,17.826923076923077
260,399,191,208,20.98952879581152,17.826923076923077
261,399,191,208,20.98952879581152,17.826923076923077
262,399,191,208,20.98952879581152,17.826923076923077
263,399,191,208,20.98952879581152,17.826923076923077
264,399,191,208,20.98952879581152,17.826923076923077
265,399,191,208,20.98952879581152,17.826923076923077
266,399,191,208,20.98952879581152,17.826923076923077
267,399,191,208,20.98952879581152,17.826923076923077
268,399,191,208,20.98952879581152,17.826923076923077
269,399,191,208,20.98952879581152,17.826923076923077
270,399,191,208,20.98952879581152,17.826923076923077
271,399,191,208,20.98952879581152,17.826923076923077
272,399,191,208,20.98952879581152,17.826923076923077
273,399,191,208,20.98952879581152,17.826923076923077
274,399,191,208,20.98952879581152,17.826923076923077
275,399,191,208,20.98952879581152,17.826923076923077
276,399,191,208,20.98952879581152,17.826923076923077
277,399,191,208,20.98952879581152,17.826923076923077
278,399,191,208,20.98952879581152,17.826923076923077
279,399,191,208,20.98952879581152,17.826923076923077
280,399,191,208,20.98952879581152,17.826923076923077
281,399,191,208,20.98952879581152,17.826923076923077
282,399,191,208,20.98952879581152,17.826923076923077
